Title,Genre,Age Rating,Content Type,Duration(min),Origin Country,Main Cast,Audio,IMDB rate,Seasons,Release Year,,,
Lucifer: Season 5: Daniel Espinoza: Naked and Afraid,"Crime, Fantasy",16+,TV Show,43,United States,"Tom Ellis , Lauren German ,Kevin Alejandro, D.B. Woodside , Lesley-Ann Brandt",English,8.1,6,2016,,,
Lucifer: Season 5: Resting Devil Face,"Crime, Fantasy",16+,TV Show,43,United States,"Tom Ellis , Lauren German ,Kevin Alejandro, D.B. Woodside , Lesley-Ann Brandt",English,8.1,6,2016,,,
Lucifer: Season 5: Bloody Celestial Karaoke Jam,"Crime, Fantasy",16+,TV Show,43,United States,"Tom Ellis , Lauren German ,Kevin Alejandro, D.B. Woodside , Lesley-Ann Brandt",English,8.1,6,2016,,,
Lucifer: Season 5: Family Dinner,"Crime, Fantasy",16+,TV Show,43,United States,"Tom Ellis , Lauren German ,Kevin Alejandro, D.B. Woodside , Lesley-Ann Brandt",English,8.1,6,2016,,,
Extraction 2,Action,18+,Movie,123,United States,"Chris Hemsworth , Golshifteh Farahani ,  Adam Bessa, Tornike Gogrichiani, Demetre Kavelashvili",English,7.1,2,2023,,,
Friends: Season 2: The One Where Joey Moves Out,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 10: The One with Ross's Grant,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
See You in My 19th Life: The Inability to Forget About the One You Long For,Romance,13+,TV Show,60,South Korea,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, and Ahn Dong-goo.",Korean,8.8,1,2023,,,
See You in My 19th Life: Am I the Butterfly or Is the Butterfly Me?,Romance,13+,TV Show,60,South Korea,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, and Ahn Dong-goo.",Korean,8.8,1,2023,,,
See You in My 19th Life: The Agony of Parting With the One You Love,Romance,13+,TV Show,60,South Korea,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, and Ahn Dong-goo.",Korean,8.8,1,2023,,,
See You in My 19th Life: The Will to Finish What You've Started,Romance,13+,TV Show,60,South Korea,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, and Ahn Dong-goo.",Korean,8.8,1,2023,,,
"See You in My 19th Life: Happiness, Sadness, Pity, and Joy",Romance,13+,TV Show,60,South Korea,"Shin Hye-sun, Ahn Bo-hyun, Ha Yoon-kyung, and Ahn Dong-goo.",Korean,8.8,1,2023,,,
Friends: Season 9: The One Where Monica Sings,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 2: The One Where Ross and Rachel...You Know,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 6: The One Where Ross Got High,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 8: The One with the Birthing Video,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
"Social Currency: Real Karo, Feel Karo",Reality,16+,TV Show,44,India,"Rowhi Rai, Sakshi Chopra, Parth Samthaan",Hindi,4.5,,2023,,,
Social Currency: Unbox me,Reality,16+,TV Show,44,India,"Rowhi Rai, Sakshi Chopra, Parth Samthaan",Hindi,4.5,,2023,,,
Friends: Season 7: The One with Rachel's Assistant,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 7: The One with Phoebe's Cookies,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 7: The One with Rachel's Book,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 4: The One with the Free Porn,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 6: The One Where Ross Hugs Rachel,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 6: The One After Vegas,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 5: The One in Vegas: Part 2,Comedy,,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 5: The One in Vegas: Part 1,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Tu Jhoothi Main Makkaar,Drama,13+,Movie,159,India,"Ranbir Kapoor, Shradhha Kapoor, Anubhav S. Bassi",Hindi,6.1,,2023,,,
Mismatched: Season 2,Romance,16+,TV Show,32,India,"Prajakta Kohli, Rohit Saraf, Vihaan Samat, Taaruk Raina",Hindi,5.9,2,2020,,,
